ID,Area
93_1,6160
93_2,11880
93_3,9828
93_4,5130
93_5,10980
93_6,8510
93_7,8268
93_8,10788
93_9,7011
93_10,3036
93_11,6363
93_12,7410
93_13,6400
93_14,8820
93_15,11845
93_16,7420
93_17,12350
93_18,6862
93_19,6970
93_20,7866
93_21,4554
93_22,13776
93_23,3060
93_24,2301
93_25,5775
93_26,3417
8_1,31280
8_2,27984
8_3,9504
8_4,24960
8_5,16160
8_6,37908
45_1,10235
45_2,9604
45_3,16226
45_4,9963
45_5,9775
45_6,9216
45_7,11550
45_8,7936
45_9,5451
45_10,14260
45_11,9523
45_12,5005
45_13,12771
45_14,8580
45_15,4040
45_16,16215
45_17,3320
45_18,8112
45_19,4880
45_20,6804
45_21,7130
45_22,11660
45_23,2436
45_24,6732
45_25,13803
78_1,8944
78_2,7665
78_3,9010
78_4,6624
78_5,7110
78_6,6930
78_7,10545
78_8,7931
78_9,6438
78_10,4941
78_11,5780
78_12,4554
78_13,3969
78_14,7030
78_15,3760
78_16,2451
78_17,5671
78_18,5925
78_19,2448
78_20,3692
78_21,4185
78_22,1887
78_23,5400
75_1,4320
75_2,3808
75_3,2754
75_4,2107
75_5,2451
75_6,2544
75_7,4422
75_8,3400
75_9,1632
75_10,2580
75_11,2200
75_12,3476
75_13,2961
75_14,2835
75_15,4176
75_16,1476
75_17,900
75_18,2560
75_19,2800
104_1,12825
104_2,5700
104_3,10648
104_4,14690
104_5,10304
104_6,12300
104_7,9890
104_8,3456
104_9,11016
104_10,4440
104_11,6808
104_12,15000
104_13,3717
104_14,8874
104_15,6370
104_16,12375
104_17,7832
104_18,9288
104_19,9085
104_20,18768
104_21,3127
104_22,3393
104_23,3450
80_1,5248
80_2,4272
80_3,2491
80_4,5600
80_5,3776
80_6,3450
80_7,3920
80_8,3504
80_9,3196
80_10,2025
80_11,3068
80_12,3111
80_13,3060
80_14,3496
80_15,2494
80_16,3149
80_17,3249
80_18,2162
80_19,1908
80_20,3575
105_1,17272
105_2,9464
105_3,14355
105_4,16851
105_5,22620
105_6,21600
105_7,16992
105_8,14946
105_9,22101
105_10,3965
105_11,14659
105_12,11008
105_13,11211
105_14,12555
105_15,12654
105_16,9202
105_17,6992
105_18,7980
113_1,4828
113_2,3660
113_3,2162
113_4,3266
113_5,3975
113_6,2622
113_7,3363
113_8,2494
113_9,3036
113_10,1980
113_11,2805
113_12,2112
113_13,1640
113_14,2365
113_15,1290
113_16,1815
113_17,2340
117_1,2548
117_2,3584
117_3,2800
117_4,2726
117_5,2530
117_6,2585
117_7,3264
117_8,2150
117_9,2958
117_10,992
117_11,1280
117_12,3120
117_13,2142
117_14,2610
117_15,2703
117_16,2950
117_17,2655
117_18,2160
117_19,1961
117_20,650
57_1,9400
57_2,8480
57_3,6560
57_4,9711
57_5,11342
57_6,7560
57_7,8265
57_8,6566
57_9,7812
57_10,9116
57_11,5310
57_12,6319
57_13,7029
57_14,3479
57_15,10138
57_16,4977
57_17,1170
57_18,3534
57_19,6448
57_20,6016
57_21,2550
112_1,3843
112_2,3575
112_3,2760
112_4,3780
112_5,3717
112_6,3564
112_7,4650
112_8,2400
112_9,2756
112_10,2916
112_11,3520
112_12,1620
112_13,2116
112_14,3599
112_15,2301
112_16,1408
112_17,2214
112_18,1927
111_1,5040
111_2,4234
111_3,3933
111_4,3843
111_5,4104
111_6,3840
111_7,2116
111_8,3264
111_9,3477
111_10,1995
111_11,2162
111_12,2806
111_13,2950
111_14,1674
111_15,3465
111_16,2808
111_17,2601
111_18,1786
111_19,930
111_20,2145
45_26,10614
93_27,13680
93_28,7840
93_29,4200
93_30,8798
93_31,3477
40_1,12054
40_2,8496
40_3,10527
40_4,7676
40_5,11390
40_6,8625
40_7,10625
40_8,6018
40_9,13020
40_10,8750
40_11,10200
40_12,5096
40_13,13950
40_14,7154
40_15,9047
40_16,2301
40_17,8740
40_18,3315
40_19,6785
40_20,8468
40_21,6148
40_22,2769
40_23,6272
26_1,9991
26_2,11970
26_3,6090
26_4,8322
26_5,9646
26_6,13570
26_7,12528
26_8,3900
26_9,5325
26_10,6231
26_11,5538
26_12,3380
26_13,4725
26_14,3666
26_15,8470
26_16,6116
26_17,2752
26_18,1862
26_19,4050
26_20,3402
26_21,4700
26_22,4350
26_23,3150
26_24,3120
26_25,8640
26_26,5916
26_27,3835
106_1,17554
106_2,16536
106_3,10200
106_4,8880
106_5,12369
106_6,7735
106_7,10981
106_8,14750
106_9,12240
106_10,8667
106_11,13728
106_12,5917
106_13,14535
106_14,16032
106_15,13916
106_16,17340
106_17,16302
106_18,4292
106_19,7360
106_20,10272
106_21,12446
106_22,8214
106_23,5408
83_1,3828
83_2,4680
83_3,4278
83_4,4160
83_5,3922
83_6,3944
83_7,4544
83_8,3304
83_9,3264
83_10,3360
83_11,2907
83_12,2800
83_13,4864
