ID,Area
93_1,11990
93_2,4752
93_3,10033
93_4,5916
93_5,7192
93_6,11193
93_7,6489
93_8,10170
93_9,6930
93_10,8436
93_11,12064
93_12,3102
93_13,6161
93_14,12220
93_15,7725
93_16,4532
93_17,8064
93_18,6806
93_19,6660
93_20,8820
93_21,4032
93_22,5035
93_23,2242
93_24,3366
93_25,16872
93_26,7260
8_1,30888
8_2,44184
8_3,14508
8_4,27604
8_5,9135
8_6,31833
8_7,27559
8_8,17347
45_1,7812
45_2,9702
45_3,9594
45_4,10556
45_5,13786
45_6,16226
45_7,9271
45_8,9690
45_9,11760
45_10,8588
45_11,4141
45_12,5538
45_13,15820
45_14,9630
45_15,16159
45_16,8137
45_17,4085
45_18,4940
45_19,2666
45_20,8866
45_21,3444
45_22,10710
78_1,6930
78_2,9072
78_3,7560
78_4,7176
78_5,8137
78_6,7280
78_7,7752
78_8,5916
78_9,10640
78_10,6438
78_11,4582
78_12,3476
78_13,7392
78_14,2508
78_15,3780
78_16,4545
78_17,2544
78_18,6478
78_19,4071
78_20,15250
78_21,1840
78_22,3249
78_23,4095
78_24,3468
75_1,2754
75_2,2107
75_3,3819
75_4,2544
75_5,4248
75_6,3468
75_7,4422
75_8,1632
75_9,2244
75_10,2520
75_11,2537
75_12,2898
75_13,2820
75_14,3440
75_15,2520
75_16,870
75_17,4956
75_18,1554
75_19,1312
104_1,12920
104_2,10416
104_3,14577
104_4,9152
104_5,12480
104_6,10032
104_7,5850
104_8,6975
104_9,9350
104_10,13640
104_11,10527
104_12,4697
104_13,11288
104_14,14762
104_15,3782
104_16,3591
104_17,6696
104_18,9471
104_19,8918
104_20,3612
104_21,3132
104_22,5246
104_23,19734
104_24,1855
104_25,2835
104_26,1075
80_1,5600
80_2,2538
80_3,4320
80_4,5395
80_5,3431
80_6,3450
80_7,2070
80_8,3360
80_9,3904
80_10,3196
80_11,3990
80_12,3675
80_13,2156
80_14,3388
80_15,2394
80_16,3080
80_17,2964
80_18,1944
80_19,3060
80_20,3410
80_21,1325
105_1,23490
105_2,9396
105_3,16731
105_4,15456
105_5,16768
105_6,15198
105_7,21901
105_8,22842
105_9,10332
105_10,16836
105_11,4092
105_12,10823
105_13,15368
105_14,12543
105_15,12091
105_16,9879
113_1,3266
113_2,2736
113_3,4968
113_4,3996
113_5,2552
113_6,3060
113_7,3660
113_8,2162
113_9,3245
113_10,2408
113_11,1815
113_12,2025
113_13,1290
113_14,2912
113_15,2115
113_16,1722
117_1,2784
117_2,2650
117_3,2530
117_4,3381
117_5,3068
117_6,2912
117_7,3584
117_8,1054
117_9,2244
117_10,1386
117_11,2695
117_12,2475
117_13,2150
117_14,3111
117_15,2773
117_16,2907
117_17,2652
117_18,2214
117_19,676
117_20,1634
57_1,11449
57_2,8480
57_3,6566
57_4,9991
57_5,9660
57_6,7826
57_7,9345
57_8,10440
57_9,6724
57_10,7740
57_11,5400
57_12,8272
57_13,6480
57_14,7128
57_15,6500
57_16,3337
57_17,5644
57_18,5092
57_19,6565
57_20,3717
57_21,1230
57_22,10701
57_23,1452
57_24,4968
112_1,2867
112_2,3843
112_3,3968
112_4,4788
112_5,3630
112_6,2756
112_7,3705
112_8,3843
112_9,2550
112_10,3648
112_11,1350
112_12,3021
112_13,3538
112_14,1710
112_15,2419
112_16,2255
112_17,2070
112_18,1444
112_19,754
112_20,1600
111_1,4292
111_2,4118
111_3,5183
111_4,3904
111_5,3264
111_6,2070
111_7,4176
111_8,2162
111_9,2760
111_10,3528
111_11,4032
111_12,3009
111_13,1696
111_14,2124
111_15,3591
111_16,2970
111_17,2601
111_18,2200
111_19,1020
111_20,1824
111_21,2090
45_23,6930
93_27,2958
93_28,3480
40_1,11039
40_2,11931
40_3,8750
40_4,8833
40_5,9796
40_6,10736
40_7,8550
40_8,13348
40_9,5076
40_10,7623
40_11,10179
40_12,5757
40_13,6365
40_14,6678
40_15,13860
40_16,3078
40_17,2301
40_18,8436
40_19,8446
40_20,8211
26_1,5880
26_2,12064
26_3,9898
26_4,8436
26_5,5472
26_6,5805
26_7,9964
26_8,3927
26_9,12198
26_10,5280
26_11,13455
26_12,8487
26_13,3392
26_14,5250
26_15,3404
26_16,1950
26_17,4914
26_18,4508
26_19,4067
26_20,8316
26_21,2948
26_22,2604
26_23,6399
26_24,8268
26_25,3392
26_26,3510
26_27,3773
26_28,1650
26_29,5642
106_1,9912
106_2,7998
106_3,16116
106_4,17157
106_5,14145
106_6,13904
106_7,11480
106_8,12276
106_9,11929
106_10,17271
106_11,13860
106_12,8880
106_13,17464
106_14,8774
106_15,4588
106_16,13490
106_17,14960
106_18,5723
106_19,7954
106_20,7850
106_21,12726
106_22,11336
83_1,3944
83_2,4697
83_3,3886
83_4,2688
83_5,4347
83_6,4288
83_7,4950
83_8,3422
83_9,4050
83_10,3740
83_11,2600
83_12,3364
83_13,3480
83_14,2976
83_15,3740
83_16,4940
83_17,2030
83_18,1924
83_19,1610
83_20,1215
103_1,18585
103_2,8217
103_3,17880
103_4,11834
103_5,9603
103_6,11742
103_7,13563
103_8,5022
103_9,9555
103_10,21209
103_11,8217
103_12,5893
103_13,15029
103_14,15147
103_15,15390
103_16,11752
103_17,12193
103_18,11662
103_19,9156
103_20,3626
103_21,5772
103_22,11448
103_23,1404
103_24,2200
103_25,8184
103_26,22372
103_27,7812
60_1,8322
60_2,6466
60_3,8284
60_4,4988
60_5,9424
60_6,6324
60_7,11125
60_8,7700
60_9,10170
60_10,5885
60_11,7182
60_12,7168
60_13,7881
60_14,2058
60_15,5664
60_16,4095
60_17,3000
60_18,3315
60_19,3190
60_20,1344
115_1,5200
115_2,4416
115_3,5742
115_4,4455
115_5,4880
115_6,4092
115_7,6110
115_8,7110
115_9,6862
115_10,3726
115_11,4312
115_12,2756
115_13,2808
115_14,3136
115_15,2544
115_16,2226
115_17,2842
115_18,2990
115_19,2728
115_20,2024
115_21,3740
115_22,10088
115_23,2880
115_24,4899
102_1,10608
102_2,10665
102_3,11430
102_4,8536
102_5,10890
102_6,10146
102_7,11968
102_8,9594
102_9,7752
102_10,12276
102_11,8827
102_12,7446
102_13,3696
102_14,7777
102_15,1722
102_16,3484
102_17,2944
102_18,3520
102_19,1085
99_1,9796
99_2,11220
99_3,10379
99_4,8908
99_5,10795
99_6,9711
99_7,7200
99_8,9804
99_9,7810
99_10,9963
99_11,5555
99_12,9282
99_13,3906
99_14,10260
99_15,8856
99_16,5626
99_17,14659
99_18,3078
99_19,2622
99_20,4620
99_21,1375
99_22,4686
99_23,2106
99_24,8265
99_25,2548
99_26,3042
99_27,10179
84_1,1716
84_2,3905
84_3,3136
84_4,3780
84_5,3328
84_6,4288
84_7,1800
84_8,3712
84_9,4290
84_10,2652
84_11,1406
84_12,2279
84_13,2900
84_14,4550
84_15,3658
84_16,1892
84_17,2958
84_18,900
84_19,714
84_20,2970
84_21,2623
84_22,3120
84_23,2451
84_24,2240
84_25,2585
84_26,1330
84_27,1175
84_28,1900
84_29,1890
84_30,1440
84_31,1634
84_32,4216
51_1,9216
51_2,8568
51_3,6400
51_4,6225
51_5,11500
51_6,11160
51_7,5624
51_8,8300
51_9,6045
51_10,3120
51_11,3515
51_12,6565
51_13,7878
51_14,3480
51_15,6975
51_16,8820
51_17,5238
51_18,12519
51_19,6880
51_20,3645
51_21,7134
51_22,10168
51_23,1700
51_24,10506
69_1,3195
69_2,4425
69_3,4648
69_4,3696
69_5,5850
69_6,3402
69_7,4968
69_8,4355
69_9,2548
69_10,1886
69_11,3472
69_12,5890
69_13,1856
69_14,2800
69_15,2257
69_16,3240
69_17,2728
69_18,2400
69_19,1276
69_20,2068
96_1,9118
96_2,7938
96_3,6660
96_4,9844
96_5,4872
96_6,7178
96_7,5800
96_8,8316
96_9,9477
96_10,8281
96_11,7750
96_12,9894
96_13,5796
96_14,7480
96_15,5841
96_16,4235
96_17,8580
96_18,6600
96_19,1820
96_20,6834
96_21,1935
96_22,4085
96_23,2970
96_24,2001
96_25,1122
96_26,10735
96_27,5096
96_28,4636
25_1,8640
25_2,4560
25_3,5986
25_4,6272
25_5,5488
25_6,8550
25_7,10030
25_8,7050
25_9,14356
25_10,5238
25_11,7708
25_12,5460
25_13,8769
25_14,5985
25_15,3250
25_16,4256
25_17,3710
