epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.29235,1.28402,1.12856,1.15784,0.86619,0.83187,0.88888,0.57776,1.18085,1.19397,1.1186,0.097003,3e-06,3e-06
2,2.70621,1.2694,1.11625,1.15533,0.86657,0.83187,0.89249,0.58027,1.17604,1.16867,1.11663,0.0930067,6.6535e-06,6.6535e-06
3,4.29024,1.30523,1.13347,1.16227,0.863,0.82936,0.89273,0.58068,1.17371,1.149,1.11547,0.0890099,9.911e-06,9.911e-06
4,5.90766,1.2929,1.13212,1.18297,0.86613,0.828,0.89319,0.5815,1.17434,1.13169,1.11436,0.0850128,1.27725e-05,1.27725e-05
5,7.4303,1.28238,1.12308,1.17149,0.86659,0.83131,0.89412,0.57924,1.17596,1.11763,1.11319,0.0810152,1.5238e-05,1.5238e-05
6,9.19479,1.30927,1.11398,1.16777,0.86527,0.83,0.89112,0.57956,1.17393,1.10156,1.1121,0.0770173,1.73075e-05,1.73075e-05
7,10.7511,1.28797,1.09796,1.17067,0.86868,0.82997,0.89342,0.58183,1.17176,1.087,1.11077,0.073019,1.8981e-05,1.8981e-05
8,12.3133,1.29421,1.11069,1.14306,0.86354,0.83061,0.89402,0.58153,1.17057,1.07518,1.11122,0.0690203,2.02585e-05,2.02585e-05
9,13.9571,1.29569,1.11953,1.16637,0.85775,0.83563,0.89381,0.5828,1.16824,1.06156,1.11233,0.0650211,2.114e-05,2.114e-05
10,15.6196,1.25201,1.08026,1.15364,0.85331,0.83938,0.89536,0.58418,1.16679,1.04898,1.11173,0.0610216,2.16255e-05,2.16255e-05
11,18.0054,1.25069,1.11076,1.16475,0.85649,0.8394,0.89595,0.58413,1.16664,1.03893,1.10991,0.0570217,2.1715e-05,2.1715e-05
12,19.1358,1.24484,1.07287,1.15369,0.86259,0.8394,0.89939,0.58328,1.1702,1.03722,1.1093,0.0530214,2.14085e-05,2.14085e-05
13,20.1564,1.24636,1.04889,1.14212,0.87265,0.83563,0.89975,0.58214,1.17122,1.03487,1.1077,0.0490207,2.0706e-05,2.0706e-05
14,21.155,1.24586,1.05214,1.14813,0.87498,0.8342,0.90009,0.58222,1.17284,1.02736,1.10814,0.0450196,1.96075e-05,1.96075e-05
