                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4542,                  3.329,                 1.4238,                0.05153,                0.88756,                0.07584,                0.04438,                 1.1385,                 3.1168,                   1.15,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.3074,                 2.4705,                 1.1823,                0.05653,                0.97368,                0.25687,                0.16675,                  1.231,                 2.7577,                 1.1376,             0.00021564,             0.00021564,             0.00021564
                      3,                 1.3813,                 1.3292,                 1.1808,                0.78833,                0.40987,                0.72846,                0.43774,                 1.2642,                 2.0432,                 1.0688,             0.00032654,             0.00032654,             0.00032654
                      4,                 1.2776,                 1.0966,                 1.1528,                0.87464,                0.65072,                0.82041,                0.50763,                 1.2742,                 1.8528,                 1.0621,             0.00043268,             0.00043268,             0.00043268
                      5,                 1.2749,                 1.0986,                 1.1789,                0.85897,                0.67028,                0.79751,                0.47484,                 1.3024,                  1.797,                 1.0827,             0.00053406,             0.00053406,             0.00053406
                      6,                 1.2866,                 1.0815,                 1.1565,                0.86381,                0.65246,                0.77394,                0.44807,                 1.3198,                 1.8811,                  1.089,              0.0006307,              0.0006307,              0.0006307
                      7,                 1.2885,                 1.0299,                 1.1464,                0.86997,                0.72028,                 0.8306,                0.50181,                 1.3253,                 1.6993,                 1.0847,             0.00072258,             0.00072258,             0.00072258
                      8,                 1.2967,                  1.057,                 1.1882,                0.83429,                 0.7488,                0.83728,                0.51974,                 1.2888,                 1.4943,                 1.0868,             0.00080972,             0.00080972,             0.00080972
                      9,                 1.2579,                 1.0458,                 1.1619,                0.84768,                0.73923,                 0.8129,                0.48316,                 1.3486,                 1.5484,                 1.1339,              0.0008921,              0.0008921,              0.0008921
                     10,                 1.2483,                0.95371,                 1.1405,                0.85064,                0.80861,                0.87742,                0.54342,                 1.2806,                 1.2352,                 1.1094,             0.00096972,             0.00096972,             0.00096972
                     11,                 1.2732,                0.97098,                 1.1639,                0.81079,                0.80861,                0.87074,                0.54947,                 1.2525,                 1.2384,                 1.1113,              0.0010426,              0.0010426,              0.0010426
                     12,                   1.27,                 0.9683,                 1.1907,                0.79454,                0.79904,                0.83791,                 0.5068,                 1.3505,                 1.3572,                 1.1732,              0.0011107,              0.0011107,              0.0011107
                     13,                 1.3145,                0.97023,                 1.2147,                0.75708,                 0.8134,                0.84757,                 0.5203,                 1.2888,                  1.305,                 1.1447,              0.0011741,              0.0011741,              0.0011741
                     14,                  1.244,                0.92667,                 1.1603,                0.82408,                0.79187,                0.86726,                   0.53,                 1.2828,                 1.3204,                 1.1407,              0.0012327,              0.0012327,              0.0012327
                     15,                  1.256,                 0.9374,                  1.165,                0.82736,                0.79108,                0.87832,                0.54065,                 1.3101,                 1.1887,                 1.1597,              0.0012866,              0.0012866,              0.0012866
                     16,                 1.2465,                0.90142,                 1.1572,                0.83757,                0.85122,                0.90448,                0.57416,                 1.2536,                 1.0093,                 1.1512,              0.0013357,              0.0013357,              0.0013357
