                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5044,                 3.3702,                 2.1622,                0.01826,                0.46797,                0.02756,                0.00826,                 2.4759,                 3.5072,                 2.2912,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.2437,                 2.0759,                  1.771,                0.02187,                 0.5605,                0.13574,                0.03508,                 2.2555,                 3.2002,                  2.045,             0.00041168,             0.00041168,             0.00041168
                      3,                  2.091,                 1.8189,                 1.7092,                0.01708,                0.43772,                0.08954,                0.03247,                 2.3369,                 3.3814,                 2.1866,             0.00061466,             0.00061466,             0.00061466
                      4,                 2.0163,                 1.6478,                 1.5531,                0.84129,                0.14149,                 0.2897,                0.12272,                 2.1292,                  2.891,                 1.8828,             0.00080892,             0.00080892,             0.00080892
                      5,                 1.9745,                 1.6074,                 1.6088,                0.76426,                 0.1637,                0.31787,                 0.1153,                 2.3427,                 2.6922,                 2.0846,             0.00099446,             0.00099446,             0.00099446
                      6,                 1.9271,                 1.5438,                 1.5523,                0.73991,                0.17082,                0.26055,                0.10321,                 2.4732,                 2.7982,                   2.25,              0.0011713,              0.0011713,              0.0011713
                      7,                 1.8971,                 1.4198,                 1.5195,                0.84835,                0.18912,                0.30725,                0.12402,                 2.3162,                 2.7642,                 2.0105,              0.0013394,              0.0013394,              0.0013394
                      8,                 1.8707,                 1.4621,                 1.5166,                0.52041,                0.28383,                0.29094,                0.13124,                 2.1164,                 2.6604,                  1.923,              0.0014988,              0.0014988,              0.0014988
                      9,                 1.9008,                 1.4765,                 1.5696,                0.58936,                0.44484,                0.44209,                0.18618,                 2.1202,                 2.0699,                 1.7918,              0.0016495,              0.0016495,              0.0016495
                     10,                 1.8573,                 1.4428,                 1.5118,                0.61958,                0.39146,                0.42413,                0.18354,                 2.0765,                  2.158,                 1.7668,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.8645,                 1.3623,                 1.4843,                0.66301,                0.50356,                0.54565,                 0.2522,                 2.0202,                 1.8949,                 1.6649,               0.001604,               0.001604,               0.001604
                     12,                 1.8034,                 1.3627,                 1.4949,                0.66917,                0.54982,                 0.5767,                0.26073,                 2.0072,                 1.6904,                 1.6528,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.8208,                 1.2864,                 1.4375,                0.73066,                0.59371,                0.69197,                0.31838,                 1.9409,                 1.4711,                 1.5998,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.8287,                 1.3301,                 1.4634,                0.72809,                0.59964,                0.67505,                 0.3051,                 1.9411,                 1.5466,                 1.5927,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.7548,                 1.3396,                 1.4332,                0.67566,                    0.5,                0.59484,                0.27483,                 1.9117,                 1.7478,                 1.6312,              0.0014456,              0.0014456,              0.0014456
