                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6181,                 3.4952,                 1.4725,                0.02267,                0.66667,                0.02159,                0.01186,                 1.2444,                 3.3066,                 1.3834,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.3881,                 3.0745,                  1.247,                0.03289,                0.96732,                0.14812,                0.07208,                 1.2753,                 3.0068,                 1.2205,             0.00013723,             0.00013723,             0.00013723
                      3,                 1.4013,                 2.2015,                 1.1721,                0.03333,                0.98039,                0.41608,                0.22918,                 1.2383,                 2.7429,                 1.1498,             0.00021129,             0.00021129,             0.00021129
                      4,                 1.3358,                  1.435,                  1.175,                 0.8993,                0.29187,                0.54745,                 0.2983,                 1.2542,                 2.3804,                 1.1566,             0.00028218,             0.00028218,             0.00028218
                      5,                 1.2849,                 1.2607,                 1.1478,                0.87244,                0.44706,                0.72583,                0.38285,                 1.2983,                 2.1458,                 1.1739,              0.0003499,              0.0003499,              0.0003499
                      6,                 1.2704,                 1.1516,                 1.1533,                0.86804,                0.57516,                0.76571,                0.42479,                 1.2957,                 2.0184,                 1.1948,             0.00041446,             0.00041446,             0.00041446
                      7,                 1.3289,                 1.1551,                 1.1962,                 0.9035,                0.48957,                0.78499,                0.43876,                 1.2244,                 2.1071,                 1.1799,             0.00047585,             0.00047585,             0.00047585
                      8,                 1.2933,                  1.142,                 1.1707,                0.91104,                0.20084,                0.56116,                0.29269,                 1.3178,                  2.565,                  1.278,             0.00053407,             0.00053407,             0.00053407
                      9,                 1.3348,                 1.1313,                 1.1844,                0.93039,                0.28758,                0.58265,                 0.3038,                 1.3834,                 2.5443,                 1.3061,             0.00058912,             0.00058912,             0.00058912
                     10,                 1.2967,                 1.0755,                 1.1449,                0.96341,                0.34422,                0.79943,                0.46623,                  1.266,                 2.1735,                  1.223,               0.000641,               0.000641,               0.000641
                     11,                  1.283,                 1.1344,                 1.1798,                0.92801,                0.50556,                0.81239,                0.47686,                  1.291,                 2.0545,                 1.2494,             0.00068972,             0.00068972,             0.00068972
                     12,                 1.3002,                 1.0382,                 1.1629,                0.88497,                0.55313,                 0.7679,                0.43921,                 1.3867,                   2.05,                 1.3033,             0.00073527,             0.00073527,             0.00073527
                     13,                 1.2724,                 1.0025,                 1.1267,                0.90052,                0.76916,                0.84159,                0.49116,                 1.3972,                 1.7595,                 1.2735,             0.00077765,             0.00077765,             0.00077765
                     14,                 1.2911,                 1.0499,                  1.162,                0.84001,                0.76471,                0.83492,                0.51932,                 1.3052,                 1.6549,                 1.2333,             0.00081686,             0.00081686,             0.00081686
                     15,                 1.2213,                0.97425,                 1.1508,                0.86615,                0.80359,                0.85656,                0.53016,                 1.3131,                 1.4415,                 1.2374,              0.0008529,              0.0008529,              0.0008529
                     16,                 1.2656,                 1.0253,                 1.1622,                0.83457,                 0.8243,                0.86461,                0.52881,                 1.3255,                    1.4,                 1.2589,             0.00088578,             0.00088578,             0.00088578
                     17,                 1.2133,                0.92768,                 1.1333,                 0.8681,                0.82353,                0.88435,                0.54212,                 1.3266,                 1.3797,                 1.2772,             0.00091549,             0.00091549,             0.00091549
                     18,                 1.2481,                0.93459,                 1.1311,                0.88533,                0.80739,                0.89139,                0.54874,                 1.3077,                 1.4089,                   1.25,             0.00094203,             0.00094203,             0.00094203
                     19,                 1.1564,                0.96249,                 1.1257,                 0.8813,                0.83007,                0.90052,                0.55518,                 1.3173,                 1.2487,                 1.2597,              0.0009654,              0.0009654,              0.0009654
                     20,                  1.221,                0.90622,                 1.1228,                0.86949,                0.82736,                0.87704,                0.55085,                 1.2826,                 1.2217,                 1.2417,              0.0009856,              0.0009856,              0.0009856
                     21,                 1.2516,                0.91942,                 1.1677,                0.81711,                0.81761,                0.85516,                0.53488,                 1.2295,                 1.2668,                 1.2223,              0.0010026,              0.0010026,              0.0010026
                     22,                 1.1585,                0.88904,                 1.0985,                0.89627,                0.84711,                0.90189,                 0.5636,                 1.2787,                 1.1755,                 1.2259,              0.0010165,              0.0010165,              0.0010165
                     23,                 1.2204,                0.91964,                 1.1236,                0.86339,                0.82353,                0.88568,                0.54907,                 1.2896,                 1.2728,                 1.2259,              0.0010272,              0.0010272,              0.0010272
                     24,                 1.2274,                 0.9278,                 1.1172,                0.86314,                0.73856,                0.83571,                0.52647,                 1.2539,                 1.4896,                 1.2143,              0.0010347,              0.0010347,              0.0010347
                     25,                 1.1497,                0.91228,                 1.0971,                0.84867,                0.80392,                0.85871,                0.54375,                 1.2464,                 1.3168,                 1.2244,              0.0010391,              0.0010391,              0.0010391
                     26,                 1.1848,                0.91473,                 1.1406,                0.86097,                0.82353,                0.88597,                0.54966,                 1.2518,                  1.119,                 1.2378,                0.00101,                0.00101,                0.00101
                     27,                  1.103,                0.85084,                 1.0669,                0.81833,                0.87582,                0.89719,                0.53489,                 1.3037,                 1.0686,                  1.282,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1688,                0.87212,                 1.0983,                0.83721,                0.87394,                 0.9082,                0.54047,                 1.2845,                 1.0374,                 1.2727,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1519,                 0.8862,                  1.116,                0.86068,                0.86928,                0.92327,                0.57021,                  1.258,                0.98351,                 1.2586,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1286,                0.82403,                 1.0773,                0.91357,                0.82901,                0.92127,                0.56689,                 1.2669,                0.96286,                 1.2627,              0.0008516,              0.0008516,              0.0008516
